drug	pos_recall	pos_recall_std	neg_recall	neg_recall_std	precision	precision_std	npv	npv_std	balanced_accuracy	balanced_accuracy_std	F1-score_micro	F1-score_micro_std	F1-score_macro	F1-score_macro_std	AUC	cv_mode	mode
Colistin	0.577	0.239	0.785	0.065	0.423	0.119	0.872	0.061	0.681	0.119	0.488	0.167	0.657	0.1	0.779	standard_cv	gpa_expr_snps
Meropenem	0.908	0.069	0.865	0.146	0.937	0.06	0.811	0.11	0.886	0.081	0.922	0.049	0.879	0.078	0.93	standard_cv	gpa_expr_snps
Tobramycin	0.873	0.082	0.928	0.06	0.848	0.118	0.941	0.037	0.9	0.054	0.86	0.077	0.897	0.057	0.954	standard_cv	gpa_expr_snps
Ciprofloxacin	0.906	0.061	0.867	0.074	0.894	0.051	0.881	0.071	0.886	0.049	0.9	0.042	0.887	0.05	0.942	standard_cv	gpa_expr_snps
Ceftazidim	0.789	0.085	0.807	0.116	0.802	0.094	0.796	0.073	0.798	0.076	0.795	0.073	0.798	0.076	0.87	standard_cv	gpa_expr_snps
Colistin	0.606	0.221	0.816	0.099	0.473	0.123	0.884	0.05	0.711	0.094	0.531	0.147	0.69	0.087	0.796	standard_cv	gpa_expr
Meropenem	0.892	0.045	0.876	0.097	0.941	0.043	0.788	0.084	0.884	0.056	0.916	0.034	0.873	0.053	0.949	standard_cv	gpa_expr
Tobramycin	0.902	0.067	0.946	0.04	0.885	0.081	0.955	0.03	0.924	0.042	0.893	0.059	0.922	0.043	0.955	standard_cv	gpa_expr
Ciprofloxacin	0.717	0.137	0.883	0.111	0.884	0.095	0.715	0.116	0.8	0.089	0.792	0.095	0.791	0.091	0.844	standard_cv	gpa_expr
Ceftazidim	0.812	0.09	0.837	0.084	0.831	0.075	0.819	0.072	0.825	0.062	0.821	0.065	0.825	0.063	0.89	standard_cv	gpa_expr
Colistin	0.239	0.215	0.82	0.147	0.266	0.192	0.799	0.1	0.53	0.102	0.252	0.196	0.53	0.102	0.598	block_cv	gpa_snps
Meropenem	0.862	0.101	0.764	0.289	0.889	0.069	0.716	0.268	0.813	0.127	0.875	0.065	0.807	0.135	0.856	block_cv	gpa_snps
Tobramycin	0.618	0.385	0.919	0.238	0.778	0.447	0.84	0.198	0.768	0.146	0.689	0.316	0.783	0.142	0.855	block_cv	gpa_snps
Ciprofloxacin	0.906	0.083	0.836	0.099	0.873	0.124	0.877	0.081	0.871	0.079	0.889	0.095	0.872	0.086	0.927	block_cv	gpa_snps
Ceftazidim	0.602	0.227	0.667	0.217	0.64	0.23	0.629	0.202	0.634	0.116	0.62	0.222	0.634	0.115	0.642	block_cv	gpa_snps
Colistin	0.507	0.166	0.805	0.073	0.414	0.121	0.857	0.046	0.656	0.099	0.456	0.138	0.643	0.092	0.738	standard_cv	gpa_snps
Meropenem	0.872	0.075	0.843	0.167	0.924	0.072	0.75	0.123	0.857	0.102	0.897	0.064	0.845	0.098	0.869	standard_cv	gpa_snps
Tobramycin	0.843	0.072	0.933	0.038	0.851	0.073	0.929	0.029	0.888	0.041	0.847	0.057	0.889	0.041	0.94	standard_cv	gpa_snps
Ciprofloxacin	0.931	0.075	0.867	0.074	0.897	0.048	0.91	0.086	0.899	0.049	0.914	0.044	0.901	0.05	0.938	standard_cv	gpa_snps
Ceftazidim	0.624	0.123	0.607	0.144	0.61	0.103	0.621	0.11	0.616	0.104	0.617	0.101	0.616	0.104	0.664	standard_cv	gpa_snps
Colistin	0.479	0.117	0.812	0.101	0.41	0.156	0.851	0.033	0.646	0.078	0.442	0.114	0.636	0.084	0.69	standard_cv	gpa
Meropenem	0.877	0.075	0.854	0.148	0.929	0.062	0.76	0.107	0.865	0.084	0.902	0.055	0.853	0.079	0.883	standard_cv	gpa
Tobramycin	0.843	0.072	0.951	0.039	0.887	0.087	0.93	0.029	0.897	0.047	0.864	0.069	0.902	0.049	0.924	standard_cv	gpa
Ciprofloxacin	0.711	0.133	0.812	0.106	0.825	0.093	0.693	0.119	0.762	0.086	0.764	0.093	0.756	0.088	0.804	standard_cv	gpa
Ceftazidim	0.669	0.094	0.674	0.122	0.669	0.093	0.674	0.087	0.672	0.087	0.669	0.083	0.672	0.088	0.707	standard_cv	gpa
Colistin	0.394	0.242	0.766	0.208	0.315	0.292	0.823	0.099	0.58	0.097	0.35	0.183	0.572	0.101	0.642	block_cv	snps
Meropenem	0.626	0.243	0.494	0.355	0.731	0.16	0.376	0.172	0.56	0.126	0.674	0.175	0.551	0.119	0.51	block_cv	snps
Tobramycin	0.549	0.42	0.883	0.311	0.683	0.422	0.811	0.32	0.716	0.18	0.609	0.321	0.727	0.205	0.789	block_cv	snps
Ciprofloxacin	0.887	0.117	0.844	0.101	0.876	0.127	0.857	0.106	0.865	0.084	0.881	0.104	0.866	0.092	0.927	block_cv	snps
Ceftazidim	0.617	0.323	0.696	0.289	0.667	0.278	0.648	0.255	0.656	0.144	0.641	0.289	0.656	0.158	0.648	block_cv	snps
Colistin	0.479	0.183	0.785	0.093	0.378	0.146	0.847	0.042	0.632	0.092	0.422	0.143	0.619	0.09	0.739	standard_cv	snps
Meropenem	0.641	0.088	0.517	0.157	0.744	0.059	0.397	0.088	0.579	0.073	0.689	0.053	0.569	0.065	0.597	standard_cv	snps
Tobramycin	0.824	0.08	0.937	0.056	0.857	0.102	0.921	0.031	0.88	0.043	0.84	0.063	0.884	0.046	0.928	standard_cv	snps
Ciprofloxacin	0.931	0.062	0.883	0.055	0.908	0.036	0.911	0.069	0.907	0.033	0.919	0.032	0.908	0.034	0.938	standard_cv	snps
Ceftazidim	0.647	0.138	0.659	0.078	0.652	0.064	0.654	0.099	0.653	0.076	0.649	0.091	0.653	0.075	0.674	standard_cv	snps
Colistin	0.606	0.235	0.87	0.135	0.558	0.166	0.89	0.055	0.738	0.099	0.581	0.168	0.73	0.094	0.825	block_cv	expr
Meropenem	0.826	0.093	0.787	0.173	0.894	0.08	0.673	0.112	0.806	0.094	0.859	0.073	0.792	0.08	0.866	block_cv	expr
Tobramycin	0.578	0.355	0.91	0.145	0.747	0.323	0.825	0.22	0.744	0.133	0.652	0.284	0.759	0.102	0.838	block_cv	expr
Ciprofloxacin	0.667	0.273	0.844	0.145	0.841	0.219	0.671	0.152	0.755	0.147	0.744	0.224	0.746	0.154	0.795	block_cv	expr
Ceftazidim	0.744	0.2	0.8	0.192	0.786	0.148	0.761	0.179	0.772	0.113	0.764	0.157	0.772	0.113	0.856	block_cv	expr
Colistin	0.648	0.323	0.716	0.256	0.383	0.231	0.882	0.108	0.682	0.18	0.482	0.254	0.636	0.178	0.75	block_cv	expr_snps
Meropenem	0.749	0.131	0.831	0.209	0.907	0.098	0.602	0.164	0.79	0.126	0.82	0.095	0.759	0.117	0.88	block_cv	expr_snps
Tobramycin	0.569	0.413	0.924	0.303	0.773	0.362	0.824	0.316	0.746	0.167	0.655	0.37	0.763	0.177	0.82	block_cv	expr_snps
Ciprofloxacin	0.918	0.083	0.836	0.099	0.874	0.125	0.892	0.146	0.877	0.076	0.896	0.096	0.879	0.074	0.94	block_cv	expr_snps
Ceftazidim	0.677	0.183	0.859	0.186	0.826	0.144	0.73	0.2	0.768	0.114	0.744	0.148	0.766	0.121	0.856	block_cv	expr_snps
Colistin	0.634	0.207	0.824	0.066	0.495	0.126	0.892	0.052	0.729	0.108	0.556	0.151	0.706	0.095	0.838	standard_cv	expr_snps
Meropenem	0.856	0.094	0.798	0.137	0.903	0.057	0.717	0.134	0.827	0.077	0.879	0.059	0.817	0.079	0.885	standard_cv	expr_snps
Tobramycin	0.824	0.155	0.915	0.063	0.816	0.13	0.919	0.067	0.869	0.095	0.82	0.129	0.868	0.092	0.918	standard_cv	expr_snps
Ciprofloxacin	0.906	0.094	0.867	0.095	0.894	0.063	0.881	0.099	0.886	0.071	0.9	0.066	0.887	0.072	0.925	standard_cv	expr_snps
Ceftazidim	0.789	0.061	0.807	0.092	0.802	0.079	0.796	0.045	0.798	0.044	0.795	0.043	0.798	0.045	0.846	standard_cv	expr_snps
Colistin	0.535	0.297	0.885	0.053	0.559	0.127	0.875	0.069	0.71	0.138	0.547	0.194	0.713	0.11	0.847	standard_cv	expr
Meropenem	0.856	0.103	0.809	0.15	0.908	0.06	0.72	0.111	0.833	0.069	0.881	0.058	0.822	0.068	0.894	standard_cv	expr
Tobramycin	0.833	0.134	0.892	0.039	0.78	0.054	0.921	0.056	0.863	0.059	0.806	0.068	0.856	0.045	0.927	standard_cv	expr
Ciprofloxacin	0.748	0.131	0.836	0.078	0.85	0.053	0.728	0.109	0.792	0.054	0.796	0.074	0.787	0.062	0.856	standard_cv	expr
Ceftazidim	0.82	0.075	0.785	0.136	0.79	0.108	0.815	0.07	0.802	0.073	0.804	0.063	0.802	0.074	0.869	standard_cv	expr
Colistin	0.352	0.24	0.782	0.177	0.305	0.31	0.816	0.095	0.567	0.106	0.327	0.207	0.563	0.114	0.617	block_cv	gpa
Meropenem	0.851	0.106	0.831	0.14	0.917	0.077	0.718	0.138	0.841	0.093	0.883	0.082	0.827	0.097	0.855	block_cv	gpa
Tobramycin	0.755	0.377	0.964	0.234	0.906	0.413	0.896	0.109	0.86	0.164	0.824	0.358	0.876	0.162	0.885	block_cv	gpa
Ciprofloxacin	0.604	0.258	0.742	0.183	0.744	0.154	0.601	0.213	0.673	0.155	0.667	0.221	0.666	0.174	0.741	block_cv	gpa
Ceftazidim	0.398	0.179	0.822	0.112	0.688	0.273	0.581	0.155	0.61	0.095	0.505	0.197	0.593	0.096	0.627	block_cv	gpa
Colistin	0.507	0.289	0.751	0.2	0.356	0.187	0.848	0.075	0.629	0.097	0.419	0.177	0.608	0.098	0.667	block_cv	gpa_expr
Meropenem	0.877	0.105	0.809	0.19	0.91	0.07	0.75	0.17	0.843	0.09	0.893	0.069	0.836	0.088	0.922	block_cv	gpa_expr
Tobramycin	0.814	0.386	0.955	0.231	0.892	0.416	0.918	0.088	0.884	0.183	0.851	0.372	0.894	0.181	0.935	block_cv	gpa_expr
Ciprofloxacin	0.629	0.251	0.773	0.228	0.775	0.203	0.627	0.152	0.701	0.14	0.694	0.213	0.693	0.165	0.765	block_cv	gpa_expr
Ceftazidim	0.699	0.156	0.904	0.132	0.877	0.087	0.753	0.197	0.801	0.094	0.778	0.114	0.8	0.11	0.885	block_cv	gpa_expr
Colistin	0.676	0.311	0.682	0.264	0.366	0.318	0.886	0.109	0.679	0.169	0.475	0.234	0.623	0.177	0.725	block_cv	gpa_expr_snps
Meropenem	0.851	0.114	0.831	0.176	0.917	0.075	0.718	0.093	0.841	0.078	0.883	0.071	0.827	0.071	0.921	block_cv	gpa_expr_snps
Tobramycin	0.765	0.395	0.951	0.232	0.876	0.419	0.898	0.097	0.858	0.177	0.817	0.37	0.87	0.172	0.918	block_cv	gpa_expr_snps
Ciprofloxacin	0.925	0.086	0.836	0.099	0.875	0.125	0.899	0.075	0.88	0.078	0.899	0.098	0.883	0.085	0.931	block_cv	gpa_expr_snps
Ceftazidim	0.632	0.201	0.904	0.077	0.866	0.154	0.713	0.179	0.768	0.096	0.73	0.17	0.764	0.114	0.855	block_cv	gpa_expr_snps
Colistin	0.592	0.187	0.82	0.091	0.472	0.179	0.881	0.053	0.706	0.118	0.525	0.17	0.687	0.116	0.823	standard_cv	gpa_expr_snps
Meropenem	0.892	0.094	0.831	0.097	0.921	0.042	0.779	0.145	0.862	0.067	0.906	0.058	0.855	0.075	0.929	standard_cv	gpa_expr_snps
Tobramycin	0.902	0.105	0.915	0.046	0.829	0.081	0.953	0.046	0.908	0.051	0.864	0.062	0.899	0.045	0.957	standard_cv	gpa_expr_snps
Ciprofloxacin	0.918	0.072	0.875	0.109	0.901	0.076	0.896	0.085	0.897	0.077	0.91	0.066	0.898	0.076	0.906	standard_cv	gpa_expr_snps
Ceftazidim	0.82	0.073	0.837	0.083	0.832	0.078	0.825	0.067	0.828	0.064	0.826	0.064	0.828	0.064	0.866	standard_cv	gpa_expr_snps
Colistin	0.648	0.157	0.805	0.067	0.474	0.129	0.894	0.047	0.726	0.096	0.548	0.128	0.697	0.088	0.799	standard_cv	gpa_expr
Meropenem	0.928	0.06	0.843	0.193	0.928	0.071	0.843	0.099	0.885	0.085	0.928	0.036	0.885	0.069	0.948	standard_cv	gpa_expr
Tobramycin	0.882	0.079	0.937	0.038	0.865	0.075	0.946	0.035	0.91	0.045	0.874	0.057	0.908	0.042	0.962	standard_cv	gpa_expr
Ciprofloxacin	0.736	0.146	0.875	0.109	0.88	0.1	0.727	0.127	0.805	0.097	0.801	0.106	0.798	0.101	0.849	standard_cv	gpa_expr
Ceftazidim	0.835	0.079	0.844	0.1	0.841	0.098	0.838	0.074	0.84	0.078	0.838	0.079	0.84	0.079	0.89	standard_cv	gpa_expr
Colistin	0.268	0.188	0.824	0.169	0.292	0.247	0.805	0.089	0.546	0.11	0.279	0.201	0.547	0.114	0.603	block_cv	gpa_snps
Meropenem	0.862	0.104	0.787	0.257	0.898	0.076	0.722	0.159	0.824	0.118	0.88	0.072	0.816	0.115	0.873	block_cv	gpa_snps
Tobramycin	0.569	0.381	0.91	0.24	0.744	0.462	0.822	0.203	0.739	0.162	0.644	0.334	0.754	0.155	0.86	block_cv	gpa_snps
Ciprofloxacin	0.906	0.077	0.836	0.099	0.873	0.121	0.877	0.071	0.871	0.07	0.889	0.089	0.872	0.078	0.939	block_cv	gpa_snps
Ceftazidim	0.361	0.254	0.756	0.223	0.593	0.294	0.545	0.212	0.558	0.128	0.449	0.253	0.541	0.142	0.551	block_cv	gpa_snps
Colistin	0.423	0.203	0.824	0.078	0.395	0.177	0.84	0.04	0.623	0.086	0.408	0.158	0.62	0.086	0.761	standard_cv	gpa_snps
Meropenem	0.851	0.115	0.831	0.165	0.917	0.066	0.718	0.126	0.841	0.065	0.883	0.06	0.827	0.063	0.878	standard_cv	gpa_snps
Tobramycin	0.863	0.118	0.937	0.053	0.863	0.087	0.937	0.048	0.9	0.056	0.863	0.074	0.9	0.052	0.918	standard_cv	gpa_snps
Ciprofloxacin	0.912	0.079	0.883	0.11	0.906	0.08	0.89	0.097	0.897	0.085	0.909	0.074	0.898	0.085	0.946	standard_cv	gpa_snps
Ceftazidim	0.579	0.128	0.637	0.107	0.611	0.101	0.606	0.087	0.608	0.092	0.595	0.112	0.608	0.095	0.644	standard_cv	gpa_snps
Colistin	0.465	0.225	0.785	0.096	0.371	0.161	0.844	0.049	0.625	0.104	0.412	0.177	0.613	0.102	0.689	standard_cv	gpa
Meropenem	0.862	0.118	0.843	0.156	0.923	0.064	0.735	0.138	0.852	0.072	0.891	0.067	0.838	0.075	0.875	standard_cv	gpa
Tobramycin	0.853	0.097	0.942	0.038	0.87	0.068	0.933	0.042	0.897	0.049	0.861	0.061	0.899	0.043	0.908	standard_cv	gpa
Ciprofloxacin	0.742	0.184	0.82	0.127	0.837	0.107	0.719	0.155	0.781	0.112	0.787	0.132	0.777	0.12	0.826	standard_cv	gpa
Ceftazidim	0.654	0.118	0.667	0.126	0.659	0.099	0.662	0.097	0.66	0.087	0.657	0.088	0.66	0.086	0.685	standard_cv	gpa
Colistin	0.38	0.215	0.755	0.226	0.297	0.228	0.817	0.092	0.568	0.119	0.333	0.189	0.559	0.121	0.635	block_cv	snps
Meropenem	0.641	0.244	0.393	0.198	0.698	0.105	0.333	0.175	0.517	0.063	0.668	0.178	0.515	0.084	0.497	block_cv	snps
Tobramycin	0.549	0.379	0.861	0.303	0.644	0.432	0.807	0.325	0.705	0.205	0.593	0.315	0.713	0.214	0.769	block_cv	snps
Ciprofloxacin	0.893	0.108	0.836	0.106	0.871	0.125	0.863	0.091	0.865	0.082	0.882	0.1	0.866	0.089	0.927	block_cv	snps
Ceftazidim	0.481	0.289	0.667	0.255	0.587	0.271	0.566	0.245	0.574	0.166	0.529	0.254	0.571	0.169	0.57	block_cv	snps
Colistin	0.507	0.143	0.816	0.048	0.429	0.086	0.859	0.035	0.662	0.07	0.465	0.102	0.651	0.062	0.753	standard_cv	snps
Meropenem	0.662	0.114	0.461	0.165	0.729	0.067	0.383	0.13	0.561	0.104	0.694	0.089	0.556	0.103	0.588	standard_cv	snps
Tobramycin	0.814	0.138	0.924	0.074	0.83	0.135	0.916	0.061	0.869	0.082	0.822	0.109	0.871	0.08	0.89	standard_cv	snps
Ciprofloxacin	0.912	0.084	0.867	0.133	0.895	0.09	0.888	0.102	0.89	0.092	0.903	0.077	0.89	0.091	0.947	standard_cv	snps
Ceftazidim	0.624	0.167	0.593	0.118	0.601	0.1	0.615	0.156	0.608	0.117	0.613	0.125	0.608	0.117	0.666	standard_cv	snps
Colistin	0.535	0.258	0.851	0.135	0.494	0.276	0.871	0.049	0.693	0.131	0.514	0.233	0.687	0.13	0.81	block_cv	expr
Meropenem	0.846	0.096	0.831	0.173	0.917	0.083	0.712	0.12	0.839	0.094	0.88	0.074	0.823	0.084	0.879	block_cv	expr
Tobramycin	0.667	0.391	0.852	0.174	0.673	0.354	0.848	0.191	0.759	0.131	0.67	0.292	0.76	0.109	0.83	block_cv	expr
Ciprofloxacin	0.61	0.26	0.812	0.141	0.802	0.259	0.627	0.179	0.711	0.156	0.693	0.221	0.7	0.163	0.782	block_cv	expr
Ceftazidim	0.774	0.191	0.837	0.2	0.824	0.108	0.79	0.194	0.806	0.108	0.798	0.132	0.806	0.111	0.863	block_cv	expr
Colistin	0.606	0.288	0.69	0.255	0.347	0.207	0.865	0.098	0.648	0.133	0.441	0.221	0.604	0.144	0.725	block_cv	expr_snps
Meropenem	0.754	0.102	0.82	0.214	0.902	0.102	0.603	0.145	0.787	0.127	0.821	0.082	0.758	0.109	0.884	block_cv	expr_snps
Tobramycin	0.608	0.408	0.946	0.308	0.838	0.414	0.841	0.319	0.777	0.199	0.705	0.395	0.797	0.232	0.819	block_cv	expr_snps
Ciprofloxacin	0.925	0.086	0.844	0.087	0.88	0.116	0.9	0.071	0.884	0.07	0.902	0.093	0.886	0.078	0.94	block_cv	expr_snps
Ceftazidim	0.639	0.202	0.822	0.155	0.78	0.188	0.698	0.206	0.731	0.124	0.702	0.168	0.729	0.144	0.808	block_cv	expr_snps
Colistin	0.577	0.234	0.812	0.087	0.456	0.213	0.876	0.064	0.695	0.138	0.509	0.199	0.676	0.13	0.805	standard_cv	expr_snps
Meropenem	0.867	0.076	0.843	0.107	0.923	0.048	0.743	0.121	0.855	0.069	0.894	0.051	0.842	0.072	0.903	standard_cv	expr_snps
Tobramycin	0.824	0.041	0.919	0.062	0.824	0.115	0.919	0.019	0.871	0.038	0.824	0.06	0.871	0.048	0.934	standard_cv	expr_snps
Ciprofloxacin	0.925	0.049	0.867	0.105	0.896	0.073	0.902	0.058	0.896	0.06	0.91	0.048	0.897	0.059	0.938	standard_cv	expr_snps
Ceftazidim	0.737	0.141	0.859	0.12	0.838	0.119	0.768	0.111	0.798	0.09	0.784	0.099	0.798	0.09	0.864	standard_cv	expr_snps
Colistin	0.606	0.261	0.893	0.069	0.606	0.232	0.893	0.063	0.749	0.141	0.606	0.233	0.749	0.141	0.85	standard_cv	expr
Meropenem	0.856	0.084	0.831	0.143	0.918	0.059	0.725	0.124	0.844	0.079	0.886	0.054	0.83	0.078	0.913	standard_cv	expr
Tobramycin	0.853	0.084	0.915	0.061	0.821	0.114	0.932	0.037	0.884	0.051	0.837	0.075	0.88	0.055	0.937	standard_cv	expr
Ciprofloxacin	0.761	0.152	0.844	0.114	0.858	0.085	0.74	0.128	0.802	0.078	0.807	0.092	0.797	0.083	0.854	standard_cv	expr
Ceftazidim	0.782	0.163	0.763	0.141	0.765	0.088	0.78	0.109	0.772	0.082	0.773	0.096	0.772	0.084	0.858	standard_cv	expr
Colistin	0.38	0.299	0.77	0.214	0.31	0.225	0.82	0.096	0.575	0.115	0.342	0.234	0.568	0.116	0.606	block_cv	gpa
Meropenem	0.851	0.106	0.775	0.208	0.892	0.066	0.704	0.129	0.813	0.101	0.871	0.074	0.805	0.096	0.857	block_cv	gpa
Tobramycin	0.735	0.366	0.964	0.234	0.904	0.412	0.888	0.203	0.85	0.165	0.811	0.352	0.868	0.167	0.871	block_cv	gpa
Ciprofloxacin	0.56	0.281	0.75	0.164	0.736	0.245	0.578	0.183	0.655	0.173	0.636	0.27	0.644	0.194	0.726	block_cv	gpa
Ceftazidim	0.474	0.248	0.778	0.235	0.677	0.252	0.6	0.189	0.626	0.107	0.558	0.234	0.617	0.112	0.642	block_cv	gpa
Colistin	0.521	0.289	0.805	0.135	0.42	0.173	0.861	0.077	0.663	0.088	0.465	0.184	0.649	0.074	0.684	block_cv	gpa_expr
Meropenem	0.913	0.052	0.865	0.153	0.937	0.08	0.819	0.096	0.889	0.076	0.925	0.05	0.883	0.063	0.929	block_cv	gpa_expr
Tobramycin	0.814	0.374	0.942	0.231	0.865	0.418	0.917	0.092	0.878	0.177	0.838	0.366	0.884	0.178	0.942	block_cv	gpa_expr
Ciprofloxacin	0.692	0.25	0.812	0.147	0.821	0.201	0.68	0.154	0.752	0.155	0.751	0.208	0.746	0.159	0.78	block_cv	gpa_expr
Ceftazidim	0.692	0.137	0.889	0.124	0.86	0.107	0.745	0.185	0.79	0.079	0.767	0.103	0.789	0.089	0.867	block_cv	gpa_expr
Colistin	0.69	0.286	0.709	0.254	0.392	0.239	0.894	0.083	0.699	0.149	0.5	0.18	0.645	0.146	0.742	block_cv	gpa_expr_snps
Meropenem	0.856	0.115	0.854	0.202	0.928	0.083	0.731	0.095	0.855	0.091	0.891	0.072	0.839	0.078	0.921	block_cv	gpa_expr_snps
Tobramycin	0.784	0.366	0.951	0.152	0.879	0.406	0.906	0.153	0.867	0.168	0.829	0.36	0.878	0.17	0.923	block_cv	gpa_expr_snps
Ciprofloxacin	0.918	0.091	0.836	0.099	0.874	0.125	0.892	0.075	0.877	0.079	0.896	0.1	0.879	0.086	0.903	block_cv	gpa_expr_snps
Ceftazidim	0.684	0.153	0.889	0.136	0.858	0.099	0.741	0.193	0.787	0.079	0.762	0.1	0.785	0.096	0.837	block_cv	gpa_expr_snps
Colistin	0.606	0.131	0.793	0.124	0.443	0.194	0.881	0.04	0.699	0.091	0.512	0.131	0.673	0.102	0.782	standard_cv	gpa_expr_snps
Meropenem	0.897	0.053	0.82	0.136	0.916	0.058	0.785	0.097	0.859	0.077	0.907	0.043	0.854	0.071	0.925	standard_cv	gpa_expr_snps
Tobramycin	0.882	0.086	0.919	0.055	0.833	0.104	0.945	0.041	0.901	0.056	0.857	0.077	0.894	0.058	0.957	standard_cv	gpa_expr_snps
Ciprofloxacin	0.912	0.084	0.836	0.139	0.873	0.089	0.884	0.081	0.874	0.069	0.892	0.057	0.876	0.068	0.93	standard_cv	gpa_expr_snps
Ceftazidim	0.797	0.131	0.844	0.141	0.835	0.123	0.809	0.098	0.821	0.068	0.815	0.074	0.821	0.069	0.873	standard_cv	gpa_expr_snps
Colistin	0.606	0.162	0.824	0.086	0.483	0.138	0.885	0.045	0.715	0.099	0.538	0.141	0.695	0.097	0.792	standard_cv	gpa_expr
Meropenem	0.877	0.065	0.854	0.105	0.929	0.046	0.76	0.105	0.865	0.052	0.902	0.037	0.853	0.05	0.925	standard_cv	gpa_expr
Tobramycin	0.892	0.088	0.933	0.044	0.858	0.091	0.95	0.04	0.912	0.055	0.875	0.075	0.908	0.055	0.966	standard_cv	gpa_expr
Ciprofloxacin	0.742	0.122	0.875	0.094	0.881	0.071	0.732	0.099	0.809	0.07	0.805	0.081	0.801	0.074	0.841	standard_cv	gpa_expr
Ceftazidim	0.812	0.132	0.852	0.106	0.844	0.098	0.821	0.098	0.832	0.077	0.828	0.089	0.832	0.078	0.894	standard_cv	gpa_expr
Colistin	0.296	0.216	0.793	0.151	0.28	0.184	0.805	0.106	0.544	0.115	0.288	0.19	0.543	0.111	0.605	block_cv	gpa_snps
Meropenem	0.856	0.102	0.764	0.245	0.888	0.067	0.708	0.158	0.81	0.109	0.872	0.067	0.804	0.107	0.874	block_cv	gpa_snps
Tobramycin	0.618	0.374	0.91	0.236	0.759	0.452	0.839	0.192	0.764	0.166	0.681	0.34	0.777	0.154	0.883	block_cv	gpa_snps
Ciprofloxacin	0.906	0.079	0.836	0.099	0.873	0.128	0.877	0.061	0.871	0.076	0.889	0.1	0.872	0.084	0.936	block_cv	gpa_snps
Ceftazidim	0.526	0.311	0.696	0.284	0.631	0.265	0.599	0.228	0.611	0.096	0.574	0.272	0.609	0.11	0.627	block_cv	gpa_snps
Colistin	0.521	0.261	0.793	0.073	0.407	0.185	0.859	0.069	0.657	0.142	0.457	0.205	0.641	0.127	0.757	standard_cv	gpa_snps
Meropenem	0.856	0.066	0.82	0.146	0.913	0.063	0.723	0.112	0.838	0.067	0.884	0.037	0.826	0.057	0.875	standard_cv	gpa_snps
Tobramycin	0.833	0.097	0.955	0.046	0.895	0.093	0.926	0.04	0.894	0.057	0.863	0.081	0.902	0.057	0.945	standard_cv	gpa_snps
Ciprofloxacin	0.918	0.059	0.891	0.086	0.912	0.062	0.898	0.065	0.904	0.052	0.915	0.044	0.905	0.051	0.942	standard_cv	gpa_snps
Ceftazidim	0.677	0.116	0.667	0.138	0.667	0.099	0.677	0.081	0.672	0.086	0.672	0.09	0.672	0.088	0.703	standard_cv	gpa_snps
Colistin	0.521	0.208	0.789	0.116	0.402	0.149	0.858	0.055	0.655	0.105	0.454	0.142	0.638	0.096	0.714	standard_cv	gpa
Meropenem	0.867	0.076	0.843	0.137	0.923	0.058	0.743	0.123	0.855	0.073	0.894	0.048	0.842	0.069	0.881	standard_cv	gpa
Tobramycin	0.843	0.093	0.955	0.047	0.896	0.104	0.93	0.041	0.899	0.065	0.869	0.092	0.906	0.066	0.927	standard_cv	gpa
Ciprofloxacin	0.748	0.161	0.812	0.166	0.832	0.109	0.722	0.11	0.78	0.076	0.788	0.092	0.776	0.082	0.814	standard_cv	gpa
Ceftazidim	0.617	0.124	0.726	0.123	0.689	0.105	0.658	0.089	0.671	0.086	0.651	0.095	0.67	0.086	0.724	standard_cv	gpa
Colistin	0.366	0.23	0.743	0.223	0.28	0.209	0.812	0.109	0.555	0.144	0.317	0.198	0.547	0.135	0.609	block_cv	snps
Meropenem	0.61	0.255	0.461	0.248	0.713	0.108	0.35	0.18	0.535	0.07	0.657	0.181	0.528	0.088	0.515	block_cv	snps
Tobramycin	0.569	0.393	0.919	0.308	0.763	0.428	0.823	0.324	0.744	0.194	0.652	0.345	0.76	0.213	0.787	block_cv	snps
Ciprofloxacin	0.887	0.12	0.82	0.081	0.86	0.113	0.854	0.093	0.854	0.08	0.873	0.105	0.855	0.085	0.924	block_cv	snps
Ceftazidim	0.414	0.292	0.704	0.225	0.579	0.253	0.549	0.209	0.559	0.145	0.482	0.251	0.55	0.184	0.519	block_cv	snps
Colistin	0.563	0.166	0.808	0.134	0.444	0.165	0.872	0.057	0.686	0.119	0.497	0.155	0.668	0.12	0.745	standard_cv	snps
Meropenem	0.61	0.045	0.584	0.16	0.763	0.078	0.406	0.074	0.597	0.083	0.678	0.042	0.579	0.068	0.59	standard_cv	snps
Tobramycin	0.824	0.148	0.942	0.047	0.866	0.093	0.921	0.057	0.883	0.072	0.844	0.098	0.888	0.065	0.926	standard_cv	snps
Ciprofloxacin	0.906	0.079	0.891	0.086	0.911	0.062	0.884	0.08	0.898	0.054	0.909	0.05	0.898	0.055	0.945	standard_cv	snps
Ceftazidim	0.609	0.124	0.674	0.169	0.648	0.114	0.636	0.09	0.642	0.097	0.628	0.101	0.641	0.1	0.667	standard_cv	snps
